"CODE","ACCPDX","STRAGE","ENDAGE","SEX","PDX_LEVEL","BK1","BK2"
"B418","True",0,200,"12",0,"",""
"B419","True",0,200,"12",0,"",""
"B42","True",0,200,"12",0,"",""
"B420","True",0,200,"12",0,"",""
"B421","True",0,200,"12",0,"",""
"B427","True",0,200,"12",0,"",""
"B428","True",0,200,"12",0,"",""
"B429","True",0,200,"12",0,"",""
"B43","True",0,200,"12",0,"",""
"B430","True",0,200,"12",0,"",""
"B431","True",0,200,"12",0,"",""
"B432","True",0,200,"12",0,"",""
"B438","True",0,200,"12",0,"",""
"B439","True",0,200,"12",0,"",""
"B44","True",0,200,"12",0,"",""
"B440","True",0,200,"12",0,"",""
"B441","True",0,200,"12",0,"",""
"B442","True",0,200,"12",0,"",""
"B447","True",0,200,"12",0,"",""
"B448","True",0,200,"12",0,"",""
"B449","True",0,200,"12",0,"",""
"B45","True",0,200,"12",0,"",""
"B450","True",0,200,"12",0,"",""
"B451","True",0,200,"12",0,"",""
"B452","True",0,200,"12",0,"",""
"B453","True",0,200,"12",0,"",""
"B457","True",0,200,"12",0,"",""
"B458","True",0,200,"12",0,"",""
"B459","True",0,200,"12",0,"",""
"B46","True",0,200,"12",0,"",""
"B460","True",0,200,"12",0,"",""
"B461","True",0,200,"12",0,"",""
"B462","True",0,200,"12",0,"",""
"B463","True",0,200,"12",0,"",""
"B464","True",0,200,"12",0,"",""
"B465","True",0,200,"12",0,"",""
"B468","True",0,200,"12",0,"",""
"B469","True",0,200,"12",0,"",""
"B47","True",0,200,"12",0,"",""
"B470","True",0,200,"12",0,"",""
"B471","True",0,200,"12",0,"",""
"B479","True",0,200,"12",0,"",""
"B48","True",0,200,"12",0,"",""
"B480","True",0,200,"12",0,"",""
"B481","True",0,200,"12",0,"",""
"B482","True",0,200,"12",0,"",""
"B483","True",0,200,"12",0,"",""
"B484","True",0,200,"12",0,"",""
"B487","True",0,200,"12",0,"",""
"B488","True",0,200,"12",0,"",""
"B49","True",0,200,"12",0,"",""
"B50","True",0,200,"12",0,"",""
"B500","True",0,200,"12",0,"",""
"B508","True",0,200,"12",0,"",""
"B509","True",0,200,"12",0,"",""
"B51","True",0,200,"12",0,"",""
"B510","True",0,200,"12",0,"",""
"B518","True",0,200,"12",0,"",""
"B519","True",0,200,"12",0,"",""
"B52","True",0,200,"12",0,"",""
"B520","True",0,200,"12",0,"",""
"B528","True",0,200,"12",0,"",""
"B529","True",0,200,"12",0,"",""
"B53","True",0,200,"12",0,"",""
"B530","True",0,200,"12",0,"",""
"B531","True",0,200,"12",0,"",""
"B538","True",0,200,"12",0,"",""
"B54","True",0,200,"12",0,"",""
"B55","True",0,200,"12",0,"",""
"B550","True",0,200,"12",0,"",""
"B551","True",0,200,"12",0,"",""
"B552","True",0,200,"12",0,"",""
